,2122_RANK,LEA,SCHOOL_NAME,2122_RESIDUALS,2122_ACT_COMP
180,181,4713051,Osceola High School,-0.7562194466797152,14.25
181,182,1602055,Westside High School,-0.7624119472917315,18.71
182,183,1703013,Mountainburg High School,-0.7705006345744358,17.72
183,184,2903012,Hope High School,-0.7820507810871185,16.34
184,185,7307032,Riverview High School,-0.8132528038290268,17.44
185,186,6002082,North Little Rock High School,-0.8288838599667621,17.33
186,187,6301002,Bauxite High School,-0.8315700674280855,19.07
187,188,3904011,Lee High School,-0.8417124888050225,13.48
188,189,3005030,Ouachita High School,-0.8669294655146231,18.25
189,190,3806019,Sloan-Hendrix High School,-0.8837770870472497,17.55
190,191,4902007,Mount Ida High School,-0.89522664845801,17.69
191,192,7007040,Parkers Chapel High School,-0.9052003130251514,18.35
192,193,5503011,Kirby High School,-0.9187418231686344,17.79
193,194,4304005,Cabot High School,-0.9225511196311516,20.78
194,195,7003028,Junction City High School,-0.9414365153252398,16.95
195,196,3505042,Pine Bluff High School,-0.9580757447412918,14.6
196,197,3212027,Cedar Ridge High School,-0.9588274025835553,17.29
197,198,4605026,Arkansas High School,-0.9588608017569413,16.79
198,199,6401003,Waldron High School,-0.9661440148565141,17.47
199,200,1505026,Wonderview High School,-1.0107171747820978,17.66
200,201,2605034,Lake Hamilton High School,-1.0400195132347392,19.08
201,202,7008045,Smackover High School,-1.0539031890766495,17.82
202,203,3509067,Watson Chapel High School,-1.0627793917916417,15.26
203,204,4603010,Fouke High School,-1.1000509660597722,18.38
204,205,5608037,East Poinsett Co. High School,-1.143434691252331,16.69
205,206,5706002,Acorn High School,-1.1677983120472746,17.75
206,207,2705021,Sheridan High School,-1.1718196790386948,19.3
207,208,203018,Hamburg High School,-1.199818109577663,17.2
208,209,7303015,Bradford High School,-1.2084922990329048,17.08
209,210,3211035,Midland High School,-1.2139019791681953,17.41
210,211,6304030,Harmony Grove High School,-1.21433135191214,18.64
211,212,4304703,Academic Center for Excellence,-1.2245590645007383,17.57
212,213,4102010,Foreman High School,-1.255755254913364,16.86
213,214,405052,Rogers Heritage High School,-1.2621617077114315,18.13
214,215,6003125,Wilbur D. Mills High School,-1.3561577327852241,15.41
215,216,1101004,Corning High School,-1.3584742452646026,17.19
216,217,1503017,Nemo Vista High School,-1.4310771367786579,16.58
217,218,2305026,Mayflower High School,-1.4496857071440417,17.05
218,219,1106023,Rector High School,-1.450110324823548,17.54
219,220,407027,Pea Ridge High School,-1.4583851604225764,18.32
220,221,2601002,Cutter-Morning Star High Sch.,-1.4865881249784536,16.77
221,222,803012,Green Forest High School,-1.6756126788647254,15.97
222,223,5102008,Kingston High School,-1.743805744437772,16.94
223,224,6102006,Maynard High School,-1.7464008996040512,16.86
224,225,1304015,Woodlawn High School,-1.753446586761335,17.26
225,226,4801003,Brinkley High School,-1.81370217979004,14.35
226,227,1104018,Piggott High School,-1.928516677910789,17.49
227,228,4401012,St. Paul High School,-1.9705499531980557,16.64
228,229,7207049,Springdale High School,-1.9731766924919043,16.96
229,230,7304019,White Co. Central High School,-2.2275248477642116,16.42
230,231,3606026,Westside High School,-2.8038966274421337,14.97
231,232,6301703,Miner Academy,-2.822673225007186,16.13
