,2122_RANK,LEA,SCHOOL_NAME,2122_RESIDUALS,2122_ACT_COMP
163,164,6605057,Lavaca High School,-0.5130664779903356,18.47
164,165,1905017,Wynne High School,-0.5144703936957988,17.8
165,166,3306015,Izard Co. Cons. High School,-0.5378130811447441,17.74
166,167,701002,Hampton High School,-0.5465750472734925,17.32
167,168,6201011,Forrest City High School,-0.5504950165381519,15.11
168,169,4602006,Genoa Central High School,-0.5574606377422491,20.01
169,170,6804010,Highland High School,-0.5648585736141492,18.17
170,171,5403019,Central High School,-0.5916479743525684,14.13
171,172,6050703,College Prep Academy,-0.5940928449065659,15.91
172,173,5204023,Camden Fairview High School,-0.5974543694815786,16.31
173,174,4201002,Booneville High School,-0.6016663356666818,18.23
174,175,3003014,Magnet Cove High School,-0.6285699694296873,18.83
175,176,4003016,Star City High School,-0.6542548622833451,17.55
176,177,4712044,Manila High School,-0.6579717347707863,18.34
177,178,2202005,Drew Central High School,-0.7113420847836593,17.36
178,179,1613021,Riverside High School,-0.7153884109078845,17.91
179,180,4713051,Osceola High School,-0.7498852587661649,14.25
180,181,1703013,Mountainburg High School,-0.7606764850969014,17.72
181,182,6703013,Horatio High School,-0.763556286064663,17.49
182,183,1602055,Westside High School,-0.7715635212630332,18.71
183,184,7307032,Riverview High School,-0.8069613914649274,17.44
184,185,2903012,Hope High School,-0.8070572199146788,16.34
185,186,6002082,North Little Rock High School,-0.8331827402735179,17.33
186,187,6301002,Bauxite High School,-0.844986776435686,19.07
187,188,3904011,Lee High School,-0.8499232844082627,13.48
188,189,3005030,Ouachita High School,-0.8681220466534931,18.25
189,190,4902007,Mount Ida High School,-0.8880985305121563,17.69
190,191,3806019,Sloan-Hendrix High School,-0.8914436302710342,17.55
191,192,7007040,Parkers Chapel High School,-0.9013462987673329,18.35
192,193,5503011,Kirby High School,-0.9178527962006271,17.79
193,194,4304005,Cabot High School,-0.9273671044190266,20.78
194,195,7003028,Junction City High School,-0.9456296891645231,16.95
195,196,4605026,Arkansas High School,-0.9502009395310367,16.79
196,197,6401003,Waldron High School,-0.9632636524682745,17.47
197,198,3505042,Pine Bluff High School,-0.9637463935862574,14.6
198,199,3212027,Cedar Ridge High School,-0.9729223652163199,17.29
199,200,1505026,Wonderview High School,-1.017878316521184,17.66
200,201,2605034,Lake Hamilton High School,-1.036802421772439,19.08
201,202,7008045,Smackover High School,-1.0545466602288016,17.82
202,203,3509067,Watson Chapel High School,-1.0607325254745081,15.26
203,204,4603010,Fouke High School,-1.1022174138894947,18.38
204,205,5608037,East Poinsett Co. High School,-1.134917669824567,16.69
205,206,5706002,Acorn High School,-1.1643162389337682,17.75
206,207,2705021,Sheridan High School,-1.181411838964543,19.3
207,208,4304703,Academic Center for Excellence,-1.2135998498659966,17.57
208,209,203018,Hamburg High School,-1.2175018084276417,17.2
209,210,3211035,Midland High School,-1.2183874564128523,17.41
210,211,7303015,Bradford High School,-1.2192524632931097,17.08
211,212,6304030,Harmony Grove High School,-1.2218291771037393,18.64
212,213,4102010,Foreman High School,-1.2404043049817552,16.86
213,214,405052,Rogers Heritage High School,-1.2879749232980728,18.13
214,215,6003125,Wilbur D. Mills High School,-1.3642484025945727,15.41
215,216,1101004,Corning High School,-1.3713427540666387,17.19
216,217,1503017,Nemo Vista High School,-1.4154066961899687,16.58
217,218,2305026,Mayflower High School,-1.435863726155194,17.05
218,219,1106023,Rector High School,-1.460598903453807,17.54
219,220,407027,Pea Ridge High School,-1.4661999943839774,18.32
220,221,2601002,Cutter-Morning Star High Sch.,-1.4666379885894258,16.77
221,222,803012,Green Forest High School,-1.6671532358920498,15.97
222,223,5102008,Kingston High School,-1.7288126853630992,16.94
223,224,1304015,Woodlawn High School,-1.7552039518198619,17.26
224,225,6102006,Maynard High School,-1.756566464516471,16.86
225,226,4801003,Brinkley High School,-1.8117879201747815,14.35
226,227,1104018,Piggott High School,-1.9349766822481556,17.49
227,228,7207049,Springdale High School,-1.9452369610141638,16.96
228,229,4401012,St. Paul High School,-1.952824311082619,16.64
229,230,7304019,White Co. Central High School,-2.2322518970242164,16.42
230,231,3606026,Westside High School,-2.8087881278406837,14.97
231,232,6301703,Miner Academy,-2.8187120915811406,16.13
