2023 Rank,LEA,School Name,RESIDUAL,2023 ACT,Rank Chg,ACT Chg,,,,,,,,
,,,,Avg Comp,from 2022,Avg Comp,2122_RANK,LEA,SCHOOL_NAME,2122_RESIDUALS,2122_ACT_COMP,,2122_RANK,2122_ACT
102,2604030,Jessieville High School,0.0545,19.17,-29,0.17,102,5102006,Jasper High School,0.054229346,18.04,,73,19
103,4502006,Yellville-Summit High School,0.0492,18.62,-53,-0.6,103,3510076,White Hall High School,0.046725405,18.93,,50,19.22
104,1201002,Concord High School,0.0424,18.58,-13,0.12,104,7105019,South Side High School,0.040149537,18.97,,91,18.46
105,1003018,Gurdon High School,0.0405,17.65,23,0.57,105,7309039,Pangburn High School,0.037796266,19.08,,128,17.08
106,1603007,Brookland High School,0.0359,19.53,33,-0.03,106,4302018,England High School,0.025007026,17,,139,19.56
107,3810027,Walnut Ridge High School,-0.0301,19.24,16,0.63,107,1901703,Cross Cnty High A New Tech Sch,0.020149862,18.13,,123,18.61
108,4712044,Manila High School,-0.0364,18.57,69,0.23,108,2607047,Mountain Pine High School,0.018895269,17.68,,177,18.34
109,1402009,Magnolia High School,-0.038,17.37,-54,-0.61,109,1804015,Marion High School,0.012785531,17.57,,55,17.98
110,3212027,Cedar Ridge High School,-0.0414,17.92,87,0.63,110,505027,Valley Springs High School,0.012103666,19.79,,197,17.29
111,4304703,Academic Center for Excellence,-0.0594,17.73,101,0.16,111,5903012,Hazen High School,-0.000447172,18.03,,212,17.57
112,5804014,Pottsville High School,-0.0777,19.13,-43,-0.79,112,6901012,Rural Special High School,-0.004884231,18.59,,69,19.92
113,304022,Norfork High School,-0.0813,18.5,-112,-3.5,113,5201002,Bearden High School,-0.007043031,16.88,,1,22
114,2606044,Lakeside High School,-0.0942,19.93,-48,4.07,114,4501002,Flippin High School,-0.00996458,18.91,,66,15.86
115,4101004,Ashdown High School,-0.0947,17.73,42,-0.02,115,2803017,Marmaduke High School,-0.019907737,18.43,,157,17.75
116,1701002,Alma High School,-0.1,19.53,24,0.18,116,1802007,Earle High School,-0.042958223,14.28,,140,19.35
117,405703,Rogers New Technology High School,-0.1116,19.41,-63,0.26,117,3804010,Hoxie High School,-0.043276952,18.54,,54,19.15
118,903018,Lakeside High School,-0.1653,15.38,-52,-0.48,118,6302012,Benton High School,-0.043479365,20.49,,66,15.86
119,2503010,Viola High School,-0.1656,17.91,-97,-1.99,119,2301006,Conway High School,-0.06587522,20.54,,22,19.9
120,4902007,Mount Ida High School,-0.1857,18.5,71,0.81,120,3405025,Tuckerman High School,-0.079376732,19,,191,17.69
121,2903012,Hope High School,-0.2006,16.79,63,0.45,121,7302010,Beebe High School,-0.090405273,19.55,,184,16.34
122,1505026,Wonderview High School,-0.2055,18.38,78,0.72,122,4701002,Armorel High School,-0.110771297,18.63,,200,17.66
123,1802007,Earle High School,-0.2178,14.64,-7,0.36,123,3810027,Walnut Ridge High School,-0.117190214,18.61,,116,14.28
